addr,name,subsystem,conf,size,ninsn,callers,purpose
0x02001a60,irq2_ram_handler_install,RTOS,med,20,7,0,register IRQ2 with RAM-resident handler
0x02001a74,clk_node_find,SYS,med,60,22,0,find clock/device node by name in table
0x02001ab0,clock_board_init,SYS,high,1194,368,0,PLL and clock-tree init from fuses; clk_set front-end
0x02001f5a,timer1_init,PERIPH,high,32,10,1,init TIMER1 SFR and register its IRQ handler
0x02001f7a,bit_index_log2,MATHLIB,med,46,17,0,find highest set-bit index of value
0x02001fa8,lp_timer_calibrate,SYS,med,192,59,0,"compute tick divisors, program P33 via SPI"
0x02002068,lrct_config,PERIPH,med,56,16,1,"configure and enable low-power RC timer, flag-gated"
0x020020a0,time_count_convert64,MATHLIB,med,62,19,0,64-bit mul/div scale count by calibrated rate
0x020020de,timer_next_expiry_get,RTOS,high,118,37,0,"walk timer lists, return minimum ticks to expiry"
0x02002154,__list_add,RTOS,high,12,5,0,insert node into doubly-linked list after given node
0x02002160,sfr10500_trim_calibrate,SYS,low,110,34,0,calibration sweep programming SFR block 0x10500 registers
0x020021ce,sfr10500_calib_init,SYS,low,46,14,0,enable SFR block 0x10500 then trigger calibration sweep
0x020021fc,sys_timer_add_internal,RTOS,med,492,166,0,"allocate systimer entry, assign unique id, queue to task"
0x020023e8,__udivdi3,MATHLIB,high,16,7,0,unsigned 64-bit division
0x020023f8,usr_timer_add_internal,RTOS,med,482,170,0,queue hw-timer entry into per-priority expiry-sorted list
0x020025da,chip_crc16,MATHLIB,med,56,19,0,hardware CRC16 over buffer via SFR 0x13500
0x02002612,syscfg_read,SYS,high,150,55,0,dispatch config item read via registered ops table
0x020026a8,printf_parse_number,MEMLIB,med,38,16,0,parse decimal field width/precision from format string
0x020026ce,printf_emit_string,MEMLIB,med,108,39,0,emit %s string with width padding and precision
0x0200273a,printf_format_integer,MEMLIB,med,1134,355,0,convert 64-bit integer to digits with flags and base
0x02002ba8,vsnprintf,MEMLIB,high,1360,470,0,"bounded printf engine: flags, width, precision, conversions"
0x020030f8,_diprintf_r,MEMLIB,high,22,10,0,"formatted print to descriptor, newlib wrapper"
0x0200310e,bt_config_init,BT,med,232,77,0,"load BT/BLE MAC and RF-power syscfg items, apply"
0x020031f6,free_handle_push,RTOS,med,26,7,0,push handle object onto free-list head
0x02003210,module_state_alloc,RTOS,low,44,13,0,"malloc 292-byte module state, clear 256-byte buffer"
0x0200323c,audio_module_init,AUDIO_OUT,low,124,39,1,"one-time module init, register entry with sample-rate table"
0x020032b8,syscfg_write,SYS,high,60,24,0,dispatch config item write via registered ops table
0x020032f4,bt_mac_addr_init,BT,med,174,57,0,load BT MAC or generate random one and persist
0x020033a2,dev_handle_free,RTOS,med,34,9,0,free 16-byte handle from static pool or heap
0x020033c4,dev_open,RTOS,med,524,179,0,"find device by name, alloc handle, invoke open op"
0x020035d0,dev_call_op_104,RTOS,low,20,9,0,invoke optional device operation slot 104 if present
0x020035e4,dev_ioctl,RTOS,med,16,8,0,"dispatch device ops ioctl, -EINVAL if absent"
0x020035f4,dev_close,RTOS,med,286,103,0,"drop device refcount, unlink destruct free at zero"
0x02003712,os_counter_diff,RTOS,low,26,8,0,compute offset between two kernel counter words
0x0200372c,norflash_read_core,STORAGE_FS,med,136,45,0,mutex-guarded flash read in 256-byte ROM-call chunks
0x020037b4,norflash_read,STORAGE_FS,med,20,9,0,"public flash read wrapper, zero on short read"
0x020037c8,sfc_enc_cipher,STORAGE_FS,high,66,30,0,JieLi ENC LFSR stream cipher over buffer (jl_crypt)
0x0200380a,norflash_write_core,STORAGE_FS,med,152,45,0,"ROM-call flash write, rescramble ENC-region data"
0x020038a2,norflash_write,STORAGE_FS,med,20,9,0,"public flash write wrapper, zero on failure"
0x020038b6,gpio_pmu_set_out,PERIPH,low,38,13,0,set output bits for gpio 148/149 in SFR 0x51000
0x020038dc,gpio16_p33_set_out,PERIPH,low,16,5,0,write gpio16 output bit via P33 register 155
0x020038ec,gpio_port_lookup,PERIPH,med,24,8,0,map gpio number to port descriptor table entry
0x02003904,gpio_set_value,PERIPH,med,186,60,0,"set/clear gpio output, dispatching special pin ranges"
0x020039be,gpio_pmu_clear_pull,PERIPH,low,38,13,0,clear pull bits for gpio 148/149 in SFR 0x51000
0x020039e4,gpio_pmu_set_dir,PERIPH,low,94,31,0,set direction for gpio 148-151 incl USB pins
0x02003a42,gpio16_p33_set_dir,PERIPH,low,16,5,0,write gpio16 direction bit via P33 register 153
0x02003a52,p33_gpio144_set_dir,PERIPH,low,76,25,0,set direction/pull for P33 gpios 144/145
0x02003a9e,gpio_set_direction,PERIPH,med,180,63,0,"set gpio direction, dispatching special pin ranges"
0x02003b52,p33_gpio144_bit_set,PERIPH,low,42,13,0,set P33 reg 0x809E bit for gpio 144/145
0x02003b7c,gpio_set_hd,PERIPH,high,214,76,0,enable high-drive current (HD and HD1) on gpio pin
0x02003c52,gpio_pr_dir_set,PERIPH,med,42,13,0,set PR-port pin direction bit via SFR 0x809a
0x02003c7c,gpio_direction_input,PERIPH,high,146,49,0,"configure gpio pin as input, set DIR bit"
0x02003d0e,gpio_special_pull_up,PERIPH,med,66,22,0,pull-up config for USB/PMU special pins 148-151
0x02003d50,gpio_pin16_pu_sfr,PERIPH,low,16,5,0,write pin16 pull-up value to SFR 156
0x02003d60,gpio_set_pull_up,PERIPH,high,188,60,0,enable or disable gpio pull-up resistor
0x02003e1c,gpio_special_pull_down,PERIPH,med,84,29,0,pull-down config for USB/PMU special pins 148-151
0x02003e70,gpio_pin16_pd_sfr,PERIPH,low,16,5,0,write pin16 pull-down value to SFR 157
0x02003e80,gpio_set_pull_down,PERIPH,high,188,60,0,enable or disable gpio pull-down resistor
0x02003f3c,gpio_input_pullup,PERIPH,med,32,13,0,configure pin as digital input with pull-up
0x02003f5c,gpio_pin16_dir_sfr,PERIPH,low,28,9,0,write pin16 direction via SFRs 32 and 154
0x02003f78,gpio_set_direction,PERIPH,high,156,53,0,"set gpio direction, one=input zero=output"
0x02004014,gpio_config_output,PERIPH,med,34,14,0,"configure pin as push-pull output, pulls off, die on"
0x02004036,sys_timer_add,RTOS,med,34,14,0,register periodic system timer callback with priv
0x02004058,gpio_config_input_hiz,PERIPH,med,34,14,0,"configure pin high-impedance input, die off, no pulls"
0x0200407a,adc_add_sample_ch,INPUT,high,260,78,0,add adc channel to round-robin scan queue
0x0200417e,board_init,SYS,med,1020,326,0,"board init: keys, spi display, irqs, audio server, table"
0x0200457a,main,SYS,med,3684,1186,0,"system init, run initcalls, create tasks, device msg loop"
0x020053de,boot_record_load,SYS,low,60,21,0,"checksum 78-byte boot record, store 32-bit field"
0x0200541a,usb_func_cb_register,USB,low,30,10,0,store callback pointer into usb function driver slot
0x02005438,usb_midi_function_init,USB,low,200,75,0,"build 92-byte midi function config, register ep callbacks"
0x02005500,usb_ep0_request_data_stage,USB,med,146,60,0,"handle GET/SET_INTERFACE, copy wLength EP0 payload"
0x02005592,bit2_extract,MATHLIB,low,6,2,0,return bit 2 of argument
0x02005598,usb_ep_cfg_ptr_set,USB,low,50,18,0,store endpoint config pointer into device param table
0x020055ca,usb_ep_dma_cfg_set,USB,low,104,38,0,"write ep dma reg 0x16820, mirror into struct"
0x02005632,usb_ep_struct_reg2_write,USB,low,22,7,0,write endpoint struct slot at +68
0x02005648,usb_sfr_write,USB,med,46,17,0,"write indexed usb reg via 0x11804 port, busy-wait"
0x02005676,usb_reg14_write,USB,low,10,5,0,write usb indexed register 14
0x02005680,usb_ep_reg16_write,USB,low,124,44,0,"write endpoint halfword reg 16, direct or indirect"
0x020056fc,usb_ep_reg17_18_write,USB,low,134,47,0,write endpoint 32-bit reg via 17/18 halfword pair
0x02005782,usb_sfr_read,USB,med,54,21,0,"read indexed usb reg via 0x11804 port, busy-wait"
0x020057b8,usb_ep_enable,USB,med,148,52,0,set endpoint enable bit in usb CON regs 7/8
0x0200584c,usb_ep_dma_adr_set,USB,low,112,41,0,"write ep dma addr reg 0x16824, mirror into struct"
0x020058bc,usb_ep_struct_reg3_write,USB,low,22,7,0,write endpoint struct slot at +84
0x020058d2,usb_ep_reg19_write,USB,low,128,44,0,"write endpoint halfword reg 19, direct or indirect"
0x02005952,usb_ep_reg20_21_write,USB,low,136,47,0,write endpoint 32-bit reg via 20/21 halfword pair
0x020059da,usb_ep_struct_reg6_write,USB,low,22,7,0,write endpoint struct slot at +52
0x020059f0,usb_ep_enable2,USB,low,152,52,0,set endpoint enable bit in usb CON regs 9/10
0x02005a88,usb_ep_config,USB,med,298,98,0,"configure endpoint direction, type, maxpacket, dma buffer"
0x02005bb2,usb_midi_ep_open,USB,med,306,104,0,"post audio_server msg, open EP4 bulk IN/OUT pair"
0x02005ce4,usb_get_ep_buffer,USB,med,26,8,0,fetch per-endpoint buffer pointer from usb dev struct
0x02005cfe,usb_txcsr_read,USB,high,136,47,0,"read endpoint TxCSR (SIE 0x11/0x12), dual-core locked"
0x02005d86,usb_midi_sysex_engine,MIDI,med,850,269,0,EP write plus USB-MIDI DX7 sysex pack/stream engine
0x020060d8,usb_rxcsr_read,USB,high,136,47,0,"read endpoint RxCSR (SIE 0x14/0x15), dual-core locked"
0x02006160,usb_ep_read,USB,high,548,184,0,read endpoint RX FIFO into buffer with timeout
0x02006384,usb_midi_rx_parse,MIDI,med,982,318,0,"parse USB-MIDI events, DX7 7-bit repack, taskq post"
0x0200675a,usb_device_hold,USB,med,86,26,0,USB PHY off and DM/DP GPIO release per device
0x020067b0,usb_add_desc_config,USB,high,28,10,0,register or clear descriptor-builder hook slot
0x020067cc,uac_config_init,USB,med,82,26,0,"init USB-audio struct: 44100Hz rate, dma buffers"
0x0200681e,usb_config_desc_build,USB,high,100,39,0,"run desc hooks, assemble config descriptor with length"
0x02006882,usb_sie_init,USB,med,176,52,0,"USB PHY/SIE power-up, poll device mode, intr enables"
0x02006932,usb_sie_power_write,USB,med,116,40,0,write SIE POWER reg (soft-connect 0x60)
0x020069a6,usb_intr_usbe_write,USB,med,110,37,0,"write IntrUSBE byte (SIE 0x0B), dual-core locked"
0x02006a14,usb_set_intr_txe,USB,high,174,59,0,mask/clear IntrTxE bits (SIE 0x06/0x07)
0x02006ac2,usb_set_intr_rxe,USB,high,174,59,0,mask/clear IntrRxE bits (SIE 0x08/0x09)
0x02006b70,usb_id2device,USB,med,12,3,0,map usb id to device struct pointer
0x02006b7c,usb_device_mode,USB,high,520,172,0,"select USB device class mode, full init/teardown"
0x02006d84,usb_read_ep0,USB,high,150,51,0,read EP0 FIFO bytes under SIE interrupt toggle
0x02006e1a,uac_sync_rate_init,USB,low,90,26,0,init isoc feedback counters from sample rate
0x02006e74,uac_class_request_handler,USB,med,520,178,0,UAC get/set-cur control replies and descriptors
0x0200707c,usb_std_request_dispatch,USB,high,1564,564,0,standard EP0 setup request dispatcher (addr/config/desc)
0x02007698,usb_get_descriptor_handler,USB,med,300,103,0,GET_DESCRIPTOR/string and MIDI-class descriptor serving
0x020077c4,usb_ep0_csr_read,USB,med,120,41,0,"read EP0 CSR0 (SIE 0x11), dual-core locked"
0x0200783c,usb_ep0_csr_write,USB,med,124,43,0,"write EP0 CSR0, dual-core locked"
0x020078b8,usb_ep_int_enable,USB,low,38,17,0,set EP dma interrupt bit; CSR0 ack/stall stubs
0x020078de,usb_write_ep0,USB,med,228,79,0,"write up to 64B to EP0 FIFO, set TxPktRdy"
0x020079c2,prop_entry_find,APP,low,94,37,0,find value by u16 id in tiered key table
0x02007a20,prop_value_resolve,APP,low,740,267,0,resolve u16 property via section tree and builtin defaults
0x02007d04,prop_list_count,APP,low,10,4,0,return entry count from list header
0x02007d0e,event_dispatch,APP,med,322,119,0,dispatch event to wildcard/id listener lists
0x02007e50,event_post,APP,med,56,22,0,"post event object, save and restore context"
0x02007e88,event_post_notify,APP,low,26,10,0,post event 44 with 0xE0010000 marker value
0x02007ea2,s16_delta,MATHLIB,low,10,4,0,compute 1+r1-r0 as signed 16-bit delta
0x02007eac,param_smooth_compute,APP,low,224,82,0,"compute clamped smoothed value, notify on change"
0x02007f8c,param_commit_update,APP,low,138,53,0,"commit param with hysteresis, set dirty flags"
0x02008016,memset_opt,MEMLIB,high,150,56,0,"word-optimized memset, 32-byte blocks"
0x020080ac,zalloc_or_static,MEMLIB,med,40,16,0,"malloc, else zeroed static fallback buffer"
0x020080d4,free_if_heap,MEMLIB,med,22,6,0,free unless pointer is static fallback buffer
0x020080ea,prop_entry_remove,APP,low,186,68,0,"remove u16 id entry, realloc table smaller"
0x020081a4,flags_clear_bit0,APP,low,12,4,0,clear bit0 of flags byte at struct +20
0x020081b0,ui_watch_flag_set,UI_MENU,low,12,4,0,set bit0 flag on watcher object byte +20
0x020081bc,list_next_entry,UI_MENU,med,6,3,0,next node in offset-based intrusive linked list
0x020081c2,list_del,UI_MENU,med,84,31,0,unlink node from offset-based doubly-linked list
0x02008216,ui_registry_remove_free,UI_MENU,low,206,80,0,"remove matching nodes from ui registry list, free"
0x020082e4,ui_core_remove_event_actions,UI_MENU,low,344,110,0,delete matching event actions from registered elements
0x0200843c,bzero,MEMLIB,high,128,42,0,zero buffer via aligned memset chunks
0x020084bc,realloc,MEMLIB,med,70,24,0,realloc wrapper handling null ptr and zero size
0x02008502,ui_elm_next_sibling,UI_MENU,med,10,4,0,return element next sibling pointer at +4
0x0200850c,ui_elm_get_scroll,UI_MENU,low,12,5,0,return element aux scroll offset halfword +22
0x02008518,ui_elm_last_sibling,UI_MENU,med,16,8,0,walk sibling chain to last element
0x02008528,ui_core_find_owner_page,UI_MENU,low,68,26,0,find page whose element array contains element
0x0200856c,ui_elm_get_field16,UI_MENU,low,22,8,0,"return element field +16, default current window"
0x02008582,ui_elm_get_focus,UI_MENU,low,22,8,0,return element focus/flags field +28
0x02008598,ui_elm_get_zorder,UI_MENU,low,22,8,0,return element z-order byte field +32
0x020085ae,ui_rect_union,UI_DISPLAY,med,108,36,0,"merge two rects into dst, report change flags"
0x0200861a,ui_elm_rect_hit_test,UI_DISPLAY,low,174,66,0,recursively test element rect intersection and visibility
0x020086c8,ui_core_get_screen_width,UI_DISPLAY,low,44,17,0,fetch display width via draw context
0x020086f4,ui_core_get_screen_height,UI_DISPLAY,low,44,17,0,fetch display height via draw context
0x02008720,rect_circle_intersect,UI_DISPLAY,low,228,74,0,test circle vs rect via squared distance
0x02008804,rect_inside_circle,UI_DISPLAY,low,124,46,0,test all four rect corners inside circle
0x02008880,ui_invalidate_rect,UI_DISPLAY,low,230,84,0,add clipped dirty rect to window redraw array
0x02008966,ui_core_redraw,UI_DISPLAY,low,92,34,0,compute element abs rect and invalidate region
0x020089c2,ui_elm_mark_dirty,UI_DISPLAY,low,40,13,0,set dirty flags on element and last sibling
0x020089ea,ui_elm_alloc_aux,UI_MENU,low,64,21,0,lazily allocate 28-byte element aux struct
0x02008a2a,ui_elm_set_scroll,UI_MENU,low,88,36,0,"set element scroll offset via attr msg, refresh"
0x02008a82,ui_elm_redraw_children,UI_MENU,low,66,25,0,"recursively redraw child elements, post event 42"
0x02008ac4,ui_core_elm_state_change,UI_MENU,low,232,68,0,dispatch element state/focus change by event mask
0x02008bac,ui_elm_remove_event_action,UI_MENU,med,470,161,0,remove matching entries from element action array
0x02008d82,ui_win_aux_get8,UI_MENU,low,10,4,0,return window aux struct field +8
0x02008d8c,ui_win_aux_get4,UI_MENU,low,10,4,0,return window aux struct field +4
0x02008d96,ui_core_remove_element,UI_MENU,med,920,325,0,"detach element, send release events, free aux"
0x0200912e,ui_res_slot_get_or_alloc,UI_MENU,low,430,138,0,16-slot id-keyed object cache lookup or allocate
0x020092dc,memzero_8,UI_MENU,low,10,4,0,zero 8-byte action entry helper
0x020092e6,ui_elm_add_event_action,UI_MENU,low,166,61,0,grow element action array and insert entry
0x0200938c,ui_kv_map_insert,UI_MENU,low,220,85,0,insert key/value into growable u15-key map
0x02009468,ui_dlist_push_alloc,UI_MENU,low,44,19,0,allocate node and push onto pool list head
0x02009494,ui_element_init_defaults,UI_MENU,low,46,16,0,"zero 64-byte element struct, set default fields"
0x020094c2,ui_ctx_lazy_init_stub,UI_MENU,low,8,3,0,tail call to context factory at 0x0200083a
0x020094ca,memcpy,MEMLIB,high,402,165,0,optimized byte/word memcpy with 32-byte blocks
0x0200965c,ui_core_register_element,UI_MENU,low,156,56,0,"clone 64-byte element template, link into registry"
0x020096f8,ui_elm_anim_action_start,UI_MENU,med,300,108,0,build and start element attribute animation action
0x02009824,ui_action_slot_release,UI_MENU,med,280,87,0,"find action in 16-slot table, clear active flag"
0x0200993c,ui_elm_attr_change_propagate,UI_MENU,med,988,344,0,propagate style attr change to children with animations
0x02009d18,ui_elm_container_get,UI_MENU,low,20,9,0,return element field+48 when type flags match
0x02009d2c,ui_scroll_content_width,UI_MENU,med,214,79,0,compute horizontal content extent incl. padding/border
0x02009e02,ui_elm_offset18_get_neg,UI_MENU,low,16,6,0,return negated element child offset halfword +18
0x02009e12,ui_rect_span,UI_MENU,high,10,4,0,compute rect span r1-r0+1 (width or height)
0x02009e1c,ui_rect_expand,UI_MENU,high,26,13,0,"expand rect by dx,dy padding on both axes"
0x02009e36,ui_elm_content_rect_get,UI_MENU,med,154,61,0,element rect minus border/padding attrs into out rect
0x02009ed0,ui_scroll_content_height,UI_MENU,med,194,71,0,compute vertical content extent incl. padding/border
0x02009f92,ui_elm_scroll_mode_get,UI_MENU,low,26,10,0,return element scroll-mode nibble when flags match
0x02009fac,ui_scroll_list_len_get,UI_MENU,low,28,10,0,"read list length bitfield from root, default 60"
0x02009fc8,ui_scrollbar_rects_calc,UI_MENU,med,1428,487,0,compute vertical/horizontal scrollbar thumb rects
0x0200a55c,ui_rect_area,UI_MENU,high,28,10,0,rect area = width*height from four halfwords
0x0200a578,ui_elm_invalidate_rect,UI_MENU,med,54,20,0,clip rect and queue element redraw region
0x0200a5ae,ui_scrollbar_redraw,UI_MENU,med,52,25,0,invalidate both scrollbar thumb rects if nonempty
0x0200a5e2,ui_anim_step_calc,UI_MENU,med,26,9,0,animation frame step from distance and duration
0x0200a5fc,ui_elm_tree_move,UI_MENU,med,136,58,0,"recursively offset element subtree rects by dx,dy"
0x0200a684,ui_scroll_to_offset,UI_MENU,med,332,120,0,"scroll by dx,dy with optional 200-400ms animation"
0x0200a7d0,ui_scroll_clamp_rebound,UI_MENU,med,162,55,0,clamp overscroll and animate rebound into range
0x0200a872,ui_elm_offset16_get_neg,UI_MENU,low,16,6,0,return negated element child offset halfword +16
0x0200a882,ui_elm_reposition,UI_MENU,med,298,118,0,"move element within parent, fix layout and redraw"
0x0200a9ac,ui_scroll_mode_apply,UI_MENU,med,762,241,0,"apply scroll mode/percent limits, reposition element"
0x0200aca6,ui_scroll_y_by,UI_MENU,med,42,15,0,scroll element vertically by delta via animator
0x0200acd0,ui_elm_layout_arrange,UI_MENU,med,2166,704,0,"measure and arrange children, update rect, relayout"
0x0200b546,ui_elm_relayout_tree,UI_MENU,med,86,34,0,recursive relayout of dirty element subtree
0x0200b59c,ui_layout_flush,UI_MENU,med,58,21,0,process pending relayout flags on root element
0x0200b5d6,ui_scroll_by_clamped,UI_MENU,med,254,94,0,scroll by delta clamped to content bounds
0x0200b6d4,ui_scroll_x_by,UI_MENU,med,42,15,0,scroll element horizontally by delta via animator
0x0200b6fe,ui_elm_scroll_dir_flags,UI_MENU,low,16,5,0,return scroll direction nibble from element flags
0x0200b70e,ui_elm_first_child_get,UI_MENU,low,12,5,0,return element child-list head pointer or null
0x0200b71a,ui_border_radius_extent,UI_MENU,low,262,93,0,compute corner radius plus border extents for clipping
0x0200b820,ui_elm_typedata_get,UI_MENU,low,18,7,0,return element data field when type id in range
0x0200b832,ui_draw_style_init,UI_DISPLAY,med,74,28,0,zero and default-init 56-byte text draw style struct
0x0200b87c,ui_text_char_class,UI_DISPLAY,med,26,10,0,classify string first byte: control/ascii/multibyte
0x0200b896,ui_text_style_resolve,UI_DISPLAY,med,846,316,0,"fill text style struct from element attrs, apply opacity"
0x0200bbe4,ui_draw_ctx_init,UI_DISPLAY,low,16,7,0,"clear 72-byte draw context, store owner pointer"
0x0200bbf4,ui_rect_callback_if_nonempty,UI_DISPLAY,med,40,16,0,invoke draw callback when rect has positive size
0x0200bc1c,ui_rounded_rect_raster_gen,UI_DISPLAY,med,1390,446,0,generate/cache rounded-rect arc scanline raster data
0x0200c18a,ui_slot_pair_register,UI_MENU,med,172,73,0,store pointer pair into first free of 16 slots
0x0200c236,ui_registry_remove_owner,UI_MENU,med,44,15,0,"scan 16-slot registry, clear entries owned by pointer"
0x0200c262,ui_element_msg_handler,UI_MENU,med,4114,1383,0,"central element message dispatcher, 41 ids, draw/key/focus/style"
0x0200d274,ui_element_hit_search,UI_MENU,med,104,43,0,recursive deepest-element search by rect hit test
0x0200d2dc,ui_msg_handler_dispatch,UI_MENU,med,84,34,0,call registered global handlers until one consumes event
0x0200d330,ui_text_attr_init,UI_DISPLAY,med,34,14,0,"init 24-byte text attribute struct, alpha 255"
0x0200d352,ui_draw_style_init,UI_DISPLAY,med,54,18,0,"init 32-byte draw style, colors, alpha, rodata ptr"
0x0200d388,utf8_2_unicode_one,UI_DISPLAY,high,226,78,0,"decode one utf8 char to unicode, advance offset"
0x0200d46a,font_char_width,UI_DISPLAY,med,66,27,0,walk font handler list for per-char glyph width
0x0200d4ac,font_text_wrap_width,UI_DISPLAY,med,848,313,0,"measure text with word wrap, return break offset"
0x0200d7fc,font_text_line_width,UI_DISPLAY,med,228,91,0,measure single-line utf8 text pixel width
0x0200d8e0,font_text_extent,UI_DISPLAY,med,164,62,0,compute multiline text bounding width and height
0x0200d984,ui_line_attr_init,UI_DISPLAY,low,24,11,0,init 10-byte line draw attribute struct
0x0200d99c,utf8_strlen,UI_DISPLAY,med,36,16,0,count unicode chars in utf8 string
0x0200d9c0,utf8_peek_char_pair,UI_DISPLAY,low,36,16,0,fetch current and next unicode char from string
0x0200d9e4,ui_draw_custom_cb_invoke,UI_DISPLAY,low,18,8,0,invoke custom draw callback when style permits
0x0200d9f6,ui_text_render,UI_DISPLAY,med,2002,696,0,render wrapped aligned text into element draw context
0x0200e1c8,tick_ms_elapsed,RTOS,low,12,5,0,"return current tick minus argument, elapsed time"
0x0200e1d4,sin_lut_deg,MATHLIB,med,84,25,0,"fixed-point sine by degrees, quadrant-folded table lookup"
0x0200e228,ui_font_handle_release,UI_DISPLAY,low,36,14,0,"call release callback, free owned font buffer"
0x0200e24c,ui_text_out,UI_DISPLAY,med,1594,550,0,"draw text into element dc, font resolve, align, rotate"
0x0200e886,ui_rect_copy,UI_DISPLAY,high,18,9,0,copy 4-halfword rect from element to destination
0x0200e898,ui_core_draw_walk,UI_DISPLAY,med,232,90,0,"recursive element draw with clip, offset, draw msgs"
0x0200e980,ui_core_redraw_tree,UI_DISPLAY,med,130,49,0,walk element tree issuing redraw for each node
0x0200ea02,ui_layer_flush,UI_DISPLAY,med,1336,447,0,flush layer framebuffer to lcd with flip/rotate transform
0x0200ef3a,ui_core_redraw,UI_DISPLAY,med,1784,603,0,"redraw entry: merge dirty rects, redraw, flush layer"
0x0200f632,ui_aa_scanline_fill,UI_DISPLAY,med,2536,835,0,anti-aliased scanline coverage fill into alpha mask
0x0201001a,res_get_file_ext,STORAGE_FS,med,48,15,0,return pointer past last dot in path string
0x0201004a,ui_res_open,STORAGE_FS,med,132,55,0,"match path prefix on res device list, probe and open"
0x020100ce,ui_res_read,STORAGE_FS,med,306,128,0,buffered res file read with read-ahead cache
0x02010200,ui_res_style_load,UI_DISPLAY,low,218,85,0,close res file; load style attribute chunk from res
0x020102da,ui_image_format_bpp,UI_DISPLAY,med,48,22,0,map image format id to bits per pixel
0x0201030a,ui_image_open,UI_DISPLAY,med,1436,510,0,"open image from res, load palette, install decoder vtable"
0x020108a6,ui_draw_line_setup,UI_DISPLAY,med,294,106,0,"init line draw descriptor, fixed-point slopes, direction flags"
0x020109cc,ui_registry_slot_clear,UI_MENU,med,24,8,0,clear 8-byte registry slot by index
0x020109e4,ui_draw_arc_blit,UI_DISPLAY,med,8616,2971,0,arc AA fill and packed image blit with rgb565 blending
0x02012b8c,ui_rect_overlap_test,UI_DISPLAY,med,122,44,0,test rect overlap plus four corner containment checks
0x02012c06,ui_registry_point_hit,UI_MENU,med,78,31,0,find registered type-2 element containing given point
0x02012c54,ui_element_draw_call,UI_DISPLAY,med,48,21,0,clip rect then invoke element pre-draw and draw callbacks
0x02012c84,fill_ff,MEMLIB,med,128,42,0,"fast fill buffer with 0xff, aligned block loops"
0x02012d04,ui_image_get_pixel,UI_DISPLAY,med,200,81,0,fetch pixel from packed image by format-specific unpacking
0x02012dcc,image_get_pixel,UI_DISPLAY,med,202,79,0,fetch pixel from 1/2/4/8-bpp bitmap/glyph data
